,area,total,men,women,household,date
0,大阪市,2661391,1292864,1368527,1307647,2010-01-01
1,北区,108382,51900,56482,63350,2010-01-01
2,都島区,102097,49334,52763,49532,2010-01-01
3,福島区,66111,31304,34807,33424,2010-01-01
4,此花区,65426,31883,33543,29322,2010-01-01
5,中央区,76521,35888,40633,47615,2010-01-01
6,西区,81612,38593,43019,46404,2010-01-01
7,港区,85091,41792,43299,40542,2010-01-01
8,大正区,70223,34523,35700,30710,2010-01-01
9,天王寺区,69212,31991,37221,34275,2010-01-01
10,浪速区,60628,30781,29847,41114,2010-01-01
11,西淀川区,97554,48341,49213,43438,2010-01-01
12,淀川区,172046,85194,86852,90461,2010-01-01
13,東淀川区,176714,87177,89537,91613,2010-01-01
14,東成区,79871,38214,41657,38403,2010-01-01
15,生野区,134605,64487,70118,62701,2010-01-01
16,旭区,92759,44436,48323,43798,2010-01-01
17,城東区,165737,79446,86291,75602,2010-01-01
18,鶴見区,111006,53327,57679,45055,2010-01-01
19,阿倍野区,106531,49079,57452,49004,2010-01-01
20,住之江区,127482,61220,66262,56295,2010-01-01
21,住吉区,156180,73557,82623,73692,2010-01-01
22,東住吉区,131486,62304,69182,60183,2010-01-01
23,平野区,200295,95257,105038,86230,2010-01-01
24,西成区,123822,72836,50986,74884,2010-01-01
25,大阪市,2660934,1292464,1368470,1307542,2010-02-01
26,北区,108458,51908,56550,63335,2010-02-01
27,都島区,102238,49395,52843,49584,2010-02-01
28,福島区,66200,31341,34859,33495,2010-02-01
29,此花区,65392,31870,33522,29292,2010-02-01
30,中央区,76670,35972,40698,47711,2010-02-01
31,西区,81659,38637,43022,46384,2010-02-01
32,港区,85069,41778,43291,40553,2010-02-01
33,大正区,70116,34460,35656,30686,2010-02-01
34,天王寺区,69307,32050,37257,34302,2010-02-01
35,浪速区,60673,30785,29888,41177,2010-02-01
36,西淀川区,97560,48338,49222,43465,2010-02-01
37,淀川区,172002,85098,86904,90429,2010-02-01
38,東淀川区,176663,87115,89548,91600,2010-02-01
39,東成区,79852,38187,41665,38387,2010-02-01
40,生野区,134495,64439,70056,62637,2010-02-01
41,旭区,92684,44391,48293,43768,2010-02-01
42,城東区,165760,79464,86296,75625,2010-02-01
43,鶴見区,111040,53303,57737,45059,2010-02-01
44,阿倍野区,106541,49079,57462,49017,2010-02-01
45,住之江区,127430,61178,66252,56292,2010-02-01
46,住吉区,156026,73507,82519,73664,2010-02-01
47,東住吉区,131319,62245,69074,60124,2010-02-01
48,平野区,200250,95245,105005,86196,2010-02-01
49,西成区,123530,72679,50851,74760,2010-02-01
50,大阪市,2660505,1292259,1368246,1307922,2010-03-01
51,北区,108485,51895,56590,63416,2010-03-01
52,都島区,102360,49446,52914,49689,2010-03-01
53,福島区,66267,31366,34901,33568,2010-03-01
54,此花区,65463,31891,33572,29322,2010-03-01
55,中央区,76817,36025,40792,47824,2010-03-01
56,西区,81694,38670,43024,46367,2010-03-01
57,港区,85073,41788,43285,40579,2010-03-01
58,大正区,70080,34430,35650,30691,2010-03-01
59,天王寺区,69356,32084,37272,34344,2010-03-01
60,浪速区,60691,30789,29902,41248,2010-03-01
61,西淀川区,97541,48343,49198,43436,2010-03-01
62,淀川区,171891,85053,86838,90400,2010-03-01
63,東淀川区,176691,87116,89575,91616,2010-03-01
64,東成区,79846,38196,41650,38409,2010-03-01
65,生野区,134379,64386,69993,62644,2010-03-01
66,旭区,92583,44338,48245,43725,2010-03-01
67,城東区,165751,79486,86265,75642,2010-03-01
68,鶴見区,111094,53330,57764,45066,2010-03-01
69,阿倍野区,106404,48994,57410,49007,2010-03-01
70,住之江区,127357,61160,66197,56311,2010-03-01
71,住吉区,155879,73435,82444,73666,2010-03-01
72,東住吉区,131232,62213,69019,60111,2010-03-01
73,平野区,200223,95246,104977,86193,2010-03-01
74,西成区,123348,72579,50769,74648,2010-03-01
75,大阪市,2660891,1291889,1369002,1310724,2010-04-01
76,北区,109018,52106,56912,63971,2010-04-01
77,都島区,102367,49420,52947,49771,2010-04-01
78,福島区,66424,31403,35021,33727,2010-04-01
79,此花区,65528,31903,33625,29387,2010-04-01
80,中央区,77228,36192,41036,48176,2010-04-01
81,西区,81882,38735,43147,46518,2010-04-01
82,港区,84993,41729,43264,40608,2010-04-01
83,大正区,70011,34391,35620,30714,2010-04-01
84,天王寺区,69417,32094,37323,34434,2010-04-01
85,浪速区,61021,30940,30081,41519,2010-04-01
86,西淀川区,97444,48286,49158,43466,2010-04-01
87,淀川区,171955,85104,86851,90691,2010-04-01
88,東淀川区,176618,87031,89587,91804,2010-04-01
89,東成区,79904,38244,41660,38534,2010-04-01
90,生野区,134226,64320,69906,62643,2010-04-01
91,旭区,92520,44314,48206,43770,2010-04-01
92,城東区,165772,79448,86324,75758,2010-04-01
93,鶴見区,110969,53237,57732,45071,2010-04-01
94,阿倍野区,106355,48952,57403,49054,2010-04-01
95,住之江区,127253,61082,66171,56395,2010-04-01
96,住吉区,155688,73272,82416,73711,2010-04-01
97,東住吉区,131168,62127,69041,60185,2010-04-01
98,平野区,200000,95100,104900,86239,2010-04-01
99,西成区,123130,72459,50671,74578,2010-04-01
100,大阪市,2664515,1293637,1370878,1314413,2010-05-01
101,北区,109773,52450,57323,64544,2010-05-01
102,都島区,102522,49476,53046,49917,2010-05-01
103,福島区,66674,31532,35142,33949,2010-05-01
104,此花区,65615,31934,33681,29461,2010-05-01
105,中央区,77637,36367,41270,48478,2010-05-01
106,西区,82223,38897,43326,46749,2010-05-01
107,港区,85100,41821,43279,40700,2010-05-01
108,大正区,69927,34337,35590,30695,2010-05-01
109,天王寺区,69602,32188,37414,34576,2010-05-01
