,area,total,men,women,household,date
0,大阪市,2601892,1277801,1324091,1104028,1996-01-01
1,西成区,141656,79737,61919,73972,1996-01-01
2,平野区,200636,97612,103024,76631,1996-01-01
3,東住吉区,141532,67837,73695,58413,1996-01-01
4,住吉区,162656,77947,84709,70218,1996-01-01
5,住之江区,138826,67595,71231,52388,1996-01-01
6,阿倍野区,102696,48065,54631,43043,1996-01-01
7,城東区,155717,75472,80245,64220,1996-01-01
8,旭区,102458,49543,52915,43577,1996-01-01
9,生野区,148836,71195,77641,58462,1996-01-01
10,東成区,78462,37598,40864,32554,1996-01-01
11,東淀川区,186179,93629,92550,84784,1996-01-01
12,鶴見区,98043,48386,49657,35794,1996-01-01
13,西淀川区,91047,45510,45537,36085,1996-01-01
14,淀川区,162037,80923,81114,74234,1996-01-01
15,都島区,98054,48074,49980,41590,1996-01-01
16,福島区,55023,26410,28613,23116,1996-01-01
17,此花区,68486,34371,34115,27517,1996-01-01
18,中央区,52887,24331,28556,25300,1996-01-01
19,北区,85630,40908,44722,39155,1996-01-01
20,港区,89285,44516,44769,36677,1996-01-01
21,大正区,78273,39242,39031,30404,1996-01-01
22,天王寺区,55685,25831,29854,23852,1996-01-01
23,浪速区,48973,24923,24050,25958,1996-01-01
24,西区,58815,28146,30669,26084,1996-01-01
25,東成区,78530,37632,40898,32573,1996-02-01
26,生野区,148802,71175,77627,58472,1996-02-01
27,旭区,102449,49538,52911,43586,1996-02-01
28,城東区,155661,75436,80225,64200,1996-02-01
29,鶴見区,98113,48415,49698,35816,1996-02-01
30,住吉区,162623,77918,84705,70207,1996-02-01
31,住之江区,138797,67577,71220,52425,1996-02-01
32,東住吉区,141492,67811,73681,58414,1996-02-01
33,平野区,200531,97549,102982,76704,1996-02-01
34,西成区,141542,79698,61844,73987,1996-02-01
35,阿倍野区,102694,48057,54637,43069,1996-02-01
36,東淀川区,186124,93589,92535,84783,1996-02-01
37,中央区,52793,24291,28502,25319,1996-02-01
38,西淀川区,91063,45517,45546,36086,1996-02-01
39,淀川区,161960,80885,81075,74224,1996-02-01
40,北区,85644,40923,44721,39222,1996-02-01
41,都島区,98078,48086,49992,41639,1996-02-01
42,福島区,54981,26385,28596,23120,1996-02-01
43,此花区,68474,34356,34118,27504,1996-02-01
44,大阪市,2601265,1277441,1323824,1104433,1996-02-01
45,西区,58837,28153,30684,26109,1996-02-01
46,港区,89225,44480,44745,36680,1996-02-01
47,大正区,78195,39199,38996,30385,1996-02-01
48,天王寺区,55638,25815,29823,23863,1996-02-01
49,浪速区,49019,24956,24063,26046,1996-02-01
50,生野区,148672,71110,77562,58459,1996-03-01
51,旭区,102393,49509,52884,43568,1996-03-01
52,城東区,155696,75445,80251,64287,1996-03-01
53,鶴見区,98122,48414,49708,35846,1996-03-01
54,阿倍野区,102664,48036,54628,43041,1996-03-01
55,住吉区,162568,77878,84690,70226,1996-03-01
56,東成区,78508,37623,40885,32562,1996-03-01
57,東住吉区,141379,67749,73630,58432,1996-03-01
58,平野区,200521,97533,102988,76774,1996-03-01
59,西成区,141468,79682,61786,74035,1996-03-01
60,住之江区,138822,67586,71236,52508,1996-03-01
61,東淀川区,185940,93483,92457,84726,1996-03-01
62,中央区,52792,24294,28498,25358,1996-03-01
63,西淀川区,91041,45504,45537,36088,1996-03-01
64,北区,85557,40889,44668,39270,1996-03-01
65,都島区,98074,48085,49989,41665,1996-03-01
66,福島区,54955,26369,28586,23113,1996-03-01
67,此花区,68426,34324,34102,27479,1996-03-01
68,大阪市,2600322,1276926,1323396,1104887,1996-03-01
69,淀川区,161838,80825,81013,74202,1996-03-01
70,港区,89180,44450,44730,36686,1996-03-01
71,大正区,78084,39140,38944,30374,1996-03-01
72,天王寺区,55651,25827,29824,23884,1996-03-01
73,浪速区,49051,24982,24069,26140,1996-03-01
74,西区,58920,28189,30731,26164,1996-03-01
75,東成区,78403,37574,40829,32650,1996-04-01
76,生野区,148421,70987,77434,58626,1996-04-01
77,旭区,102144,49388,52756,43553,1996-04-01
78,城東区,155392,75289,80103,64354,1996-04-01
79,鶴見区,98039,48368,49671,35904,1996-04-01
80,西成区,141437,79690,61747,74173,1996-04-01
81,住之江区,138382,67369,71013,52528,1996-04-01
82,東住吉区,141205,67659,73546,58489,1996-04-01
83,平野区,200045,97290,102755,76782,1996-04-01
84,東淀川区,185091,93044,92047,84601,1996-04-01
85,阿倍野区,102388,47900,54488,42904,1996-04-01
86,住吉区,162139,77659,84480,70165,1996-04-01
87,淀川区,161842,80827,81015,74508,1996-04-01
88,浪速区,49079,25006,24073,26256,1996-04-01
89,西淀川区,90956,45461,45495,36086,1996-04-01
90,大阪市,2595583,1274572,1321011,1105913,1996-04-01
91,北区,85429,40837,44592,39357,1996-04-01
92,福島区,54885,26332,28553,23163,1996-04-01
93,此花区,68251,34227,34024,27475,1996-04-01
94,都島区,97977,48038,49939,41795,1996-04-01
95,西区,58780,28119,30661,26201,1996-04-01
96,港区,89016,44362,44654,36712,1996-04-01
97,大正区,77908,39048,38860,30379,1996-04-01
98,天王寺区,55719,25864,29855,23941,1996-04-01
99,中央区,52655,24234,28421,25311,1996-04-01
100,鶴見区,98124,48405,49719,35979,1996-05-01
101,生野区,148431,70988,77443,58642,1996-05-01
102,旭区,102244,49435,52809,43786,1996-05-01
103,城東区,155627,75395,80232,64613,1996-05-01
104,阿倍野区,102694,48036,54658,43339,1996-05-01
105,東成区,78486,37615,40871,32683,1996-05-01
106,住吉区,162764,77945,84819,70699,1996-05-01
107,東住吉区,141434,67761,73673,58690,1996-05-01
108,平野区,200293,97400,102893,77047,1996-05-01
109,西成区,141452,79724,61728,74152,1996-05-01
110,住之江区,138325,67338,70987,52659,1996-05-01
111,東淀川区,185675,93324,92351,85404,1996-05-01
