,date,household,household_io(mom),household(mom),pop_density,pop(mom),area,men,women,total,size
0,2018-12-01,1416202,,467.0,12109.30243,2726579,大阪市,1410490,1316646,2727136,225.21
1,2018-12-01,80664,,49.0,12924.17795,133462,北区,68980,64656,133636,10.34
2,2018-12-01,54479,,-4.0,17572.36842,106861,都島区,55404,51436,106840,6.08
3,2018-12-01,40364,,71.0,16298.501069999998,76006,福島区,40062,36052,76114,4.67
4,2018-12-01,31555,,23.0,3424.831169,65897,此花区,33741,32187,65928,19.25
5,2018-12-01,62915,,26.0,11094.36302,98265,中央区,52513,45894,98407,8.87
6,2018-12-01,58022,,48.0,19339.15547,100625,西区,53540,47217,100757,5.21
7,2018-12-01,41078,,0.0,10307.50636,81073,港区,41526,39491,81017,7.86
8,2018-12-01,29643,,-15.0,6741.675504000002,63654,大正区,32598,30976,63574,9.43
9,2018-12-01,40195,,53.0,16389.66942,79273,天王寺区,42519,36807,79326,4.84
10,2018-12-01,50801,,-81.0,16661.04784,73234,浪速区,36142,37000,73142,4.39
11,2018-12-01,44841,,-11.0,6738.7482420000015,95865,西淀川区,48802,47023,95825,14.22
12,2018-12-01,100006,,3.0,14318.59177,180976,淀川区,91142,89845,180987,12.64
13,2018-12-01,96438,,56.0,13272.19292,176022,東淀川区,89589,86533,176122,13.27
14,2018-12-01,43132,,86.0,18289.64758,82929,東成区,43478,39557,83035,4.54
15,2018-12-01,66429,,18.0,15488.41099,129646,生野区,67294,62344,129638,8.37
16,2018-12-01,44556,,-25.0,14396.0443,91029,旭区,47779,43204,90983,6.32
17,2018-12-01,79612,,45.0,19920.88305,166914,城東区,87632,79305,166937,8.38
18,2018-12-01,47480,,55.0,13645.04284,111370,鶴見区,58257,53223,111480,8.17
19,2018-12-01,51711,,-20.0,18264.38127,109249,阿倍野区,58924,50297,109221,5.98
20,2018-12-01,58353,,-1.0,5883.212033,121307,住之江区,63113,58140,121253,20.61
21,2018-12-01,73321,,7.0,16323.29787,153402,住吉区,81927,71512,153439,9.4
22,2018-12-01,59374,,41.0,12908.61538,125836,東住吉区,66857,59002,125859,9.75
23,2018-12-01,91416,,119.0,12689.26702,193848,平野区,102228,91664,193892,15.28
24,2018-12-01,69817,,-76.0,14887.92402,109836,西成区,46443,63281,109724,7.37
25,2018-11-01,1415735,,2752.0,12106.82918,2725006,大阪市,1410126,1316453,2726579,225.21
26,2018-11-01,80615,,232.0,12907.3501,133123,北区,68874,64588,133462,10.34
27,2018-11-01,54483,,59.0,17575.822369999998,106858,都島区,55421,51440,106861,6.08
28,2018-11-01,40293,,92.0,16275.37473,75896,福島区,40025,35981,76006,4.67
29,2018-11-01,31532,,27.0,3423.220779,65914,此花区,33714,32183,65897,19.25
30,2018-11-01,62889,,208.0,11078.354,98094,中央区,52441,45824,98265,8.87
31,2018-11-01,57974,,208.0,19313.81958,100437,西区,53447,47178,100625,5.21
32,2018-11-01,41078,,97.0,10314.63104,81076,港区,41576,39497,81073,7.86
33,2018-11-01,29658,,-16.0,6750.159067000001,63741,大正区,32636,31018,63654,9.43
34,2018-11-01,40142,,76.0,16378.71901,79177,天王寺区,42472,36801,79273,4.84
35,2018-11-01,50882,,287.0,16682.00456,72991,浪速区,36210,37024,73234,4.39
36,2018-11-01,44852,,120.0,6741.561181,95749,西淀川区,48809,47056,95865,14.22
37,2018-11-01,100003,,129.0,14317.72152,180998,淀川区,91140,89836,180976,12.64
38,2018-11-01,96382,,74.0,13264.65712,176031,東淀川区,89546,86476,176022,13.27
39,2018-11-01,43046,,97.0,18266.29956,82857,東成区,43464,39465,82929,4.54
40,2018-11-01,66411,,283.0,15489.36679,129379,生野区,67284,62362,129646,8.37
41,2018-11-01,44581,,48.0,14403.32278,91072,旭区,47799,43230,91029,6.32
42,2018-11-01,79567,,119.0,19918.13842,166852,城東区,87610,79304,166914,8.38
43,2018-11-01,47425,,69.0,13631.57895,111268,鶴見区,58191,53179,111370,8.17
44,2018-11-01,51731,,81.0,18269.06355,109172,阿倍野区,58940,50309,109249,5.98
